Município ;Código na SEF-MG;Código TOM-SERPRO
SAO JOAO DE IRACEMA;628;2941
SAO JOAO DO PAU D'ALHO;493;7087
SAO JOAQUIM DA BARRA;494;7089
SAO JOSE DA BELA VISTA;495;7091
SAO JOSE DO BARREIRO;496;7093
SAO JOSE DO RIO PARDO;497;7095
SAO JOSE DO RIO PRETO;498;7097
SAO JOSE DOS CAMPOS;499;7099
SAO LOURENCO DA SERRA;629;5447
SAO LUIS DO PARAITINGA;500;7101
SAO MANUEL;501;7103
SAO MIGUEL ARCANJO;502;7105
SAO PAULO;503;7107
SAO PEDRO;504;7109
SAO PEDRO DO TURVO;505;7111
SAO ROQUE;506;7113
SAO SEBASTIAO;507;7115
SAO SEBASTIAO DA GRAMA;508;7117
SAO SIMAO;509;7119
SAO VICENTE;510;7121
SARAPUI;511;7123
SARUTAIA;512;7125
SEBASTIANOPOLIS DO SUL;513;7127
SERRA AZUL;514;7129
SERRA NEGRA;515;7133
SERRANA;516;7131
SERTAOZINHO;517;7135
SETE BARRAS;518;7137
SEVERINIA;519;7139
SILVEIRAS;520;7141
SOCORRO;521;7143
SOROCABA;522;7145
SUD MENNUCCI;523;7147
SUMARE;524;7149
SUZANAPOLIS;630;2945
SUZANO;525;7151
TABAPUA;526;7153
TABATINGA;527;7155
TABOAO DA SERRA;528;7157
TACIBA;529;7159
TAGUAI;530;7161
TAIACU;531;7163
TAIUVA;532;7165
TAMBAU;533;7167
TANABI;534;7169
TAPIRAI;535;7171
TAPIRATIBA;536;7173
TAQUARAL;631;824
TAQUARITINGA;537;7175
TAQUARITUBA;538;7177
TAQUARIVAI;632;3063
TARABAI;539;7179
TARUMA;583;7267
TATUI;540;7181
TAUBATE;541;7183
TEJUPA;542;7185
TEODORO SAMPAIO;543;7187
TERRA ROXA;544;7189
TIETE;545;7191
TIMBURI;546;7193
TORRE DE PEDRA;633;3227
TORRINHA;547;7195
TRABIJU;647;826
TREMEMBE;548;7197
TRES FRONTEIRAS;549;7199
TUIUTI;634;2955
TUPA;550;7201
TUPI PAULISTA;551;7203
TURIUBA;552;7205
TURMALINA;553;7207
UBARANA;635;2971
UBATUBA;554;7209
UBIRAJARA;555;7211
UCHOA;556;7213
UNIAO PAULISTA;557;7215
URANIA;558;7217
URU;559;7219
URUPES;560;7221
VALENTIM GENTIL;561;7223
VALINHOS;562;7225
VALPARAISO;563;7227
VARGEM;636;2957
VARGEM GRANDE DO SUL;564;7231
VARGEM GRANDE PAULISTA;565;7273
VARZEA PAULISTA;566;7233
VERA CRUZ;567;7235
VINHEDO;568;7237
VIRADOURO;569;7239
VISTA ALEGRE DO ALTO;570;7241
VITORIA BRASIL;637;828
VOTORANTIM;571;7243
VOTUPORANGA;572;7245
ZACARIAS;638;2973
